,disagree,funny,identity_annotator_count,identity_attack,insult,likes,obscene,sad,severe_toxicity,sexual_explicit,target,threat,toxicity_annotator_count,wow
total_length,0.017617387241643644,-0.08471030020754967,0.020840452334425615,0.05343028268633193,0.0090854244937666,0.06063907578535078,0.0098226507043965,-0.019939523481491906,0.007962255437648075,0.01988227083144669,0.006444275871396801,-0.013197968363359396,-0.030894124843134994,0.0025721950871907618
capitals,0.003927527034476354,-0.03922148299656182,0.012404736590653501,0.05048916140503479,0.026358124638114263,0.018707037012628578,0.027995072696395583,-0.005448122234683488,0.02512666073350145,0.014143655816328423,0.026119735262497674,0.0007209129295371699,-0.009082009612086397,0.009686951529868747
caps_vs_length,-0.02171630817135014,0.021263484928832555,-0.005509792174196693,-0.008476938025337943,-0.006029407409509559,-0.038469939971373476,0.017088326737212393,0.0028482103747110104,0.010593735926206136,-0.0035747905324660318,-0.005344051869409364,0.0008218026833463931,0.015381149478464938,-0.0006033695596929633
num_exclamation_marks,-0.009384159037278012,0.007072686409277587,0.0008685284959859713,0.017084712442634483,0.05253301020484893,-0.007866387025706615,0.05610752686800715,0.005157812114737528,0.03538831529709887,0.01943698118463829,0.055151727284698804,0.021267465111718557,0.024115054813937872,0.002225239296620634
num_question_marks,-0.002180264192291621,-0.009289801093887837,0.006304602426870998,0.028553982652068523,0.01436599380582748,-0.0027313111796617713,0.01923318081485714,0.002022866778679766,0.011662314913219564,0.015986850878281035,0.0193080561331588,-0.0004296940519924331,-0.0033068900942129684,0.001263260162245458
num_punctuation,0.0014147446674497323,-0.05718658666173258,0.018050315544721817,0.04299008698721019,0.018911447792505053,0.0295806315391536,0.01770056049560059,-0.016510527458478384,0.013266301045054633,0.01898486997248576,0.016973701585779433,-0.006479496321479766,-0.021230874385725566,0.001958707920607393
num_words,0.016120594428102507,-0.0843977029747792,0.02059506390606347,0.050527305474080186,0.011974803706832793,0.059481154479847934,0.0145364192387749,-0.019412401357006677,0.009695535383098593,0.021525331840480198,0.009578544699952259,-0.009893211180642339,-0.029855670672286776,0.0027136808743805692
num_unique_words,0.019634412756164153,-0.0857643065224621,0.02078689599149407,0.05365948858927974,0.019493753418480655,0.0638743845502608,0.017918061900526437,-0.018110428336682208,0.011900410756907105,0.022816011258337605,0.0167017064198449,-0.008946180392924967,-0.029813542319066702,0.0034895725850957538
words_vs_unique,-0.020712195150384187,0.07904539861323896,-0.019748844911202008,-0.04894090327174766,0.0011351052969575063,-0.06016247392409675,-0.003007173004082021,0.01622250936028547,-0.005329313886038234,-0.015748477757566694,0.0011724843147572605,0.009366701127786127,0.027852844748131076,-0.004150281328893789
num_smilies,-0.010935840813658651,0.010109410559781542,-0.0005756488187038597,-0.00833671929866815,-0.009400684561711259,-0.01660660721240759,-0.0010235893321647546,-0.0021333300499072564,-0.003876523395025059,-0.00041390710128997893,-0.010040169845788803,-0.0031903783051464214,-0.0030302529013876444,-0.0027768683344530846
num_symbols,-0.0040580447794575664,-0.01633606102539874,-0.0015019846255139094,-0.010205452822211416,-0.012549465531429427,0.007251793759743064,0.019443105312108418,-0.00740996296957019,0.0006747011771754576,0.0026265448909478595,-0.014966835490135095,-0.011064828879902707,-0.0052283042252605615,0.0026975311671540853
